LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
58,NEWNEW,주식회사 원정대,관심기업,스크랩,이커머스 자사 브랜드 영상 촬영/편집자 채용,시각디자이너,웹디자이너,영상디자이너,콘텐츠에디터 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,,,,,,,,
59,상승21,㈜아트박스,관심기업,스크랩,(주)아트박스 VMD실 신입 및 경력 사원 모집,그래픽디자이너,시각디자이너,MD,,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/20(월),,,,,,,,,,,,,,,,,,,,,,
60,하락10,㈜데이무드,관심기업,스크랩,모노맨션 디자이너 채용,시각디자이너,그래픽디자이너,웹디자이너,,경력무관,학력무관,서울,정규직,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
61,상승32,비비르 디자인,관심기업,스크랩,비비르디자인과 함께할 능력있는 인테리어디자이너를 찾습니다.,실내디자이너,건축기사,시공기사,,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/06(목),,,,,,,,,,,,,,,,,,,,,,
62,상승5,㈜프레인글로벌,관심기업,스크랩,[프레인글로벌] 2024 채용연계형 인턴 채용,UI·UX디자이너,그래픽디자이너,웹디자이너,편집디자이너 외,인턴·경력무관,대졸↑,서울,인턴,홈페이지 지원,~06/02(일),,,,,,,,,,,,,,,,,,,,,,
63,상승3,㈜바이와이제이,관심기업,스크랩,"[NAIN나인/로라로라/바스타일] 상품기획,디자인실, 우븐, 소재, 의류 테크니컬, BM, 해외사업, 마케팅, 온라인MD, 이커머스, 니트, PHP 개발자, CS, 피팅, 물류, 생산품질 (신입/경력) 모집",그래픽디자이너,패션디자이너,웹기획,회계담당자 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
64,상승28,씨제이올리브영 주식회사,관심기업,스크랩,[CJ올리브영-M커머스팀] 웹/편집 디자이너 모집,그래픽디자이너,웹디자이너,,,경력무관,대졸↑,서울,아르바이트,즉시지원,~05/25(토),,,,,,,,,,,,,,,,,,,,,,
65,NEWNEW,에끌라두,관심기업,스크랩,[에끌라두] ECLADO 교육 강사 / 영상편집자 채용,그래픽디자이너,3D디자이너,광고디자이너,시각디자이너 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,,,,
66,하락8,피엠인터내셔널코리아(유),관심기업,스크랩,[피엠인터내셔널코리아(유)] 마케팅 콘텐츠 디자이너 직원 채용,광고디자이너,마케팅기획,퍼포먼스마케터,홍보 외,신입·경력,대졸↑,서울,정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,,,,
67,상승4,㈜청춘브라더스,관심기업,스크랩,청춘브라더스 디자인팀 채용 공고,광고디자이너,시각디자이너,웹디자이너,브랜드마케터 외,경력무관,학력무관,서울,정규직,즉시지원,~05/23(목),,,,,,,,,,,,,,,,,,,,,,
68,하락32,재단법인 만불회,관심기업,스크랩,경리/행정/전산/편집디자인/만불신문편집/만불출판편집/영상촬영(유튜브)/TM/운전기사 채용,웹디자이너,편집디자이너,경리,시스템엔지니어 외,신입·경력,학력무관,"대구, 경북","정규직, 계약직",즉시지원,채용 시 마감,~06/09(일),,,,,,,,,,,,,,,,,,,,,
69,하락16,㈜정글몬스터,관심기업,스크랩,[정글몬스터] 각분야별 신입및 경력직 채용모집,광고디자이너,온라인마케터,홍보,MD 외,신입·경력,학력무관,서울,정규직,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
70,하락13,케이헬스케어,관심기업,스크랩,일주일 한번 출근/나머지 재택근무 가능/디자인 관련 총괄/빠른 피드백,제품디자이너,웹디자이너,,,경력무관,학력무관,서울,프리랜서,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,,,,
71,상승18,오공이공오(50205),관심기업,,,,,,,일러스트레이터,,,,즉시지원,~06/26(수),,,,,,,,,,,,,,,,합격축하금 50만원,스크랩,일러스트레이터 삽화 카툰 웹툰 벽화,경력무관,학력무관,서울,계약직
