LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
24,,㈜파마리서치,관심기업,,,,스크랩,파마리서치 하반기 대규모채용 (신입/경력모집),화학엔지니어,공정엔지니어,필드엔지니어,R&D·연구원 외,신입·경력,대졸↑,"경기, 충남, 전남 외",정규직,홈페이지 지원,~05/19(일),하락5,,,,,,,,,,,,
25,,아우토슈타트㈜,관심기업,,,,스크랩,아우토슈타트㈜ 각 부문별 채용,기계엔지니어,R&D·연구원,총무,사무보조 외,신입·경력,고졸↑,"경기, 대전","정규직, 계약직",즉시지원,~06/10(월),상승23,,,,,,,,,,,,
26,,㈜동진쎄미켐,관심기업,,,,스크랩,동진쎄미켐 각 부문 인재 채용,반도체엔지니어,R&D·연구원,공정엔지니어,기계엔지니어 외,신입·경력,고졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,내일마감,하락9,,,,,,,,,,,,
27,,건국대학교 GLOCAL(글로컬)캠퍼스,관심기업,,,,스크랩,건국대학교 글로컬캠퍼스  교직원(정규직) 신규 채용 공고,기계엔지니어,사무담당자,총무,백엔드개발자 외,경력무관,고졸↑,충북,정규직,즉시지원,~05/20(월),하락9,,,,,,,,,,,,
28,,인천신용보증재단,관심기업,,,,스크랩,2024년 인천신용보증재단 신규직원 통합 채용 공고,R&D·연구원,경영·비즈니스기획,재무담당자,금융사무 외,신입·경력,학력무관,인천,"정규직, 계약직",홈페이지 지원,~05/20(월),하락6,,,,,,,,,,,,
29,,동양피스톤㈜,관심기업,우수기업,,우수기업 설명 닫기,스크랩,이차전지 (배터리) 부품 부문별  채용,기계엔지니어,설계엔지니어,R&D·연구원,생산직종사자 외,신입·경력,학력무관,"경기, 경북",정규직,즉시지원,~05/19(일),하락6,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,
30,,㈜원봉,관심기업,,,,스크랩,2024년 상반기 채용공고,설계엔지니어,전기·전자엔지니어,반도체엔지니어,기계엔지니어 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~05/24(금),상승10,,,,,,,,,,,,
31,,㈜한미글로벌건축사사무소,관심기업,,,,스크랩,2024년 상반기 한미글로벌 신입사원 공개 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,필드엔지니어 외,신입,대졸↑,서울,정규직,홈페이지 지원,~05/21(화),상승29,,,,,,,,,,,,
32,,엘에스메탈㈜,관심기업,,,,스크랩,사무직 신입/경력 채용,기계엔지니어,반도체엔지니어,공정엔지니어,사무담당자 외,신입·경력,대졸↑,충남,정규직,홈페이지 지원,~05/31(금),NEWNEW,,,,LS그룹,1000대기업,739 위,1000대기업 순위 닫기,,,,,
33,,슈어소프트테크㈜,관심기업,,,,스크랩,슈어소프트테크㈜ 2024 신입/경력 채용,기계엔지니어,반도체엔지니어,공정엔지니어,R&D·연구원 외,신입·경력,학력무관,"경기, 대전",정규직,즉시지원,~05/27(월),하락2,,,,,,,,,,,,
34,,우신화장품,관심기업,,,,스크랩,2024 각 분야별 정규직 채용 (영업/디자이너/연구소/품질관리/제조실/제품출고/생산부),R&D·연구원,경영지원,사무담당자,총무 외,신입·경력,학력무관,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,NEWNEW,,,~05/31(금),,,,,,,,,
35,,한국우주기술진흥협회,관심기업,,,,스크랩,한국우주기술진흥협회 공개채용 공고,R&D·연구원,경영·비즈니스기획,,,신입·경력,대졸↑,서울,계약직,즉시지원,~05/19(일),하락8,,,,,,,,,,,,
36,,캐논쎄미콘덕터엔지니어링코리아㈜,관심기업,,,,스크랩,2024년 부문별 신입/경력사원모집,설계엔지니어,설비엔지니어,필드엔지니어,반도체엔지니어 외,신입·경력,학력무관,"서울, 경기, 충남",정규직,홈페이지 지원,내일마감,하락15,,,,,,,,,,,,
37,,㈜하이비젼시스템,관심기업,,,,스크랩,하이비젼시스템 신입 / 경력 공개채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,설비엔지니어 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~05/23(목),하락11,,,,,,,,,,,,
38,,㈜시아스,관심기업,,,,스크랩,각 부문별 모집 - (생산/공무/SCM-물류/품질관리/해외영업/영업),전기·전자엔지니어,설비엔지니어,공정엔지니어,필드엔지니어 외,신입·경력,학력무관,"서울, 경기, 충남 외",정규직,즉시지원,내일마감,하락8,,,,,,,,,,,,
39,,멀티캠퍼스,관심기업,,,,스크랩,24년 삼성물산 협력회사 채용연계 건설 및 안전관리자 양성 교육,설계엔지니어,시설관리자,현장관리자,안전관리자 외,경력무관,대졸↑,서울,연수생/교육생,홈페이지 지원,~06/28(금),상승77,,,,,,,,,,,,
40,,환인제약㈜,관심기업,,,,스크랩,환인제약(주) 5월 수시채용,R&D·연구원,생산·공정관리자,공무,약사·한약사 외,신입·경력,학력무관,"서울, 경기","정규직, 계약직",홈페이지 지원,~05/27(월),하락7,,,,,,,,,,,,
41,,램리서치매뉴팩춰링코리아,관심기업,,,,스크랩,램리서치매뉴팩춰링코리아 반도체 장비 생산직 Technician 채용,설계엔지니어,설비엔지니어,반도체엔지니어,생산직종사자 외,경력무관,고졸↑,경기,계약직,즉시지원,상시채용,하락13,,,,,,,,,,,,
42,,㈜파리크라상,관심기업,,,,스크랩,"[정착지원금, 입사장학금 지급]파리크라상 정규직 모집(생산/단순노무/업무지원/공무)",기계엔지니어,제과제빵사,설치·수리기사,생산직종사자 외,신입·경력,학력무관,"경기, 인천, 강원",정규직,즉시지원,내일마감,상승21,,,,,,,,,,,,
43,,주식회사 지원,관심기업,,,,스크랩,[전자생산/기능직 ]연5000천이상/상여610만/만근수당60만/1인실기숙사/통근버스/안산 경기 천안 대전 대구 부산 충남 강원도  충북,반도체엔지니어,전기·전자엔지니어,기계엔지니어,생산직종사자 외,경력무관,고졸↑,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~06/14(금),상승53,,,,,,,,,,,,
44,,㈜영신디엔씨,관심기업,,,,스크랩,2024 상반기 각 분야 신입/경력 채용,설계엔지니어,R&D·연구원,경영·비즈니스기획,웹기획 외,신입·경력,초대졸↑,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,내일마감,상승17,,,,,,,,,,,,
45,,현대자동차㈜,관심기업,,,,스크랩,현대자동차 외국인 유학생 체험형 인턴 모집,R&D·연구원,경영·비즈니스기획,생산직종사자,제품디자이너 외,인턴·신입·경력,대졸↑,"서울, 경기",인턴,홈페이지 지원,오늘 17시 마감,하락10,,,,현대자동차그룹,1000대기업,6 위,1000대기업 순위 닫기,,,,,
46,,㈜마크로젠,관심기업,우수기업,,우수기업 설명 닫기,스크랩,㈜마크로젠 각 부문 신입/경력 직원 채용,R&D·연구원,경영·비즈니스기획,백엔드개발자,프론트엔드개발자 외,인턴·신입·경력,학력무관,"서울, 대전, 세종","정규직, 인턴",즉시지원,~05/19(일),하락4,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,
47,,(주)삼양홀딩스,관심기업,,,,스크랩,2024년 삼양그룹 상시POOL 모집,기계엔지니어,설비엔지니어,공정엔지니어,경영·비즈니스기획 외,신입·경력,대졸↑,"서울, 인천, 대전 외",정규직,홈페이지 지원,상시채용,NEWNEW,,,,,,,,,,,,
48,,㈜스포츠토토코리아,관심기업,,,,스크랩,㈜스포츠토토코리아 각 부문별 신입/경력직 채용,설비엔지니어,브랜드마케터,퍼포먼스마케터,온라인마케터 외,신입·경력,초대졸↑,"서울, 경기, 경남",정규직,즉시지원,오늘마감,하락1,,,,,,,,,,,,
49,,로지스올그룹,관심기업,,,,스크랩,로지스올시스템즈 신입/경력사원 채용 (IT시스템 개발),전기·전자엔지니어,설비엔지니어,반도체엔지니어,공정엔지니어 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,~05/23(목),하락8,,,,,,,,,,,,
50,,㈜컴파트너스,관심기업,,,,스크랩,NAVER I&S㈜/자회사 각 부문 수시 채용,R&D·연구원,설비엔지니어,필드엔지니어,사무담당자 외,신입,학력무관,"경기, 인천",정규직,홈페이지 지원,~05/19(일),하락11,,,,,,,,,,,,
51,,㈜바운스,관심기업,,,,스크랩,[실내테마파크] (주)바운스 신입 및 경력직 채용,설비엔지니어,마케팅기획,총무,법무담당자 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~06/01(토),하락19,,,,,,,,,,,,
52,,농업회사법인㈜우리밀,관심기업,,,,스크랩,각 부문별 정규직(신입/경력) 채용[영업/마케팅/생산관리 총괄/생산직],R&D·연구원,마케팅기획,브랜드마케터,홍보 외,신입·경력,학력무관,"서울, 경기, 강원",정규직,즉시지원,~06/09(일),하락14,,,,,,,,,,,,
53,,엘에스엠앤엠㈜,관심기업,,,,스크랩,엘에스엠앤엠㈜ 각 부문 신입/경력 수시채용,설비엔지니어,기계엔지니어,R&D·연구원,공정엔지니어 외,신입·경력,대졸↑,"서울, 울산",정규직,홈페이지 지원,내일마감,하락16,,,,LS그룹,1000대기업,50 위,1000대기업 순위 닫기,,,,,
54,,SMC 엔지니어링㈜,관심기업,,,,스크랩,[경기 이천/충북 청주 SK하이닉스] 반도체 장비 4조 3교대 채용,반도체엔지니어,설치·수리기사,정비기사,생산직종사자 외,신입·경력,고졸↑,"경기, 충북, 강원",정규직,즉시지원,~05/31(금),하락20,,,,,,,,,,,,
