LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
87,,㈜탐앤탐스,관심기업,스크랩,탐앤탐스 언론홍보/콘텐츠/제휴마케팅 및 포토그래퍼 채용,브랜드마케터,콘텐츠마케터,홍보,경력무관,초대졸↑,서울,정규직,즉시지원,~05/31(금),,,,,하락8,,,,,,,,,,,,,,
88,,꼬랑내컴퍼니,관심기업,,,,,,MD,,,,즉시지원,~06/02(일),,,,,상승26,,,,,,,,합격축하금 50만원,스크랩,온라인관리 로켓배송/쇼핑몰 주문접수/발주,경력무관,고졸↑,경기,정규직
89,,㈜아이써치마케팅,관심기업,스크랩,"수원/인스타그램마케터 채용(월300이상) 사무보조, TM상담사, 고객관리, 인바운드,아웃바운드",퍼포먼스마케터,온라인마케터,콘텐츠마케터,신입·경력,고졸↑,"경기, 충남","정규직, 계약직",즉시지원,상시채용,,,,채널관리자 외,NEWNEW,,,,,,,,,,,,,,
90,,㈜이엔에스코리아,관심기업,스크랩,[이엔에스코리아] 확장에 따른 인재를 모집합니다,AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,CRM마케터 외,하락6,~05/17(금),,,,,,,,,,,,,
91,,㈜르하임나디브,관심기업,스크랩,㈜르하임나디브 2분기 [마케팅/디자인/교육팀] 분야별 공개채용,온라인마케터,브랜드마케터,퍼포먼스마케터,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,교재개발·교수설계 외,하락23,~05/31(금),,,,,,,,,,,,,
92,,㈜중앙,관심기업,스크랩,법인영업부 / 업계 최대 급여 및 인센티브 (급여제도 선택가능),CRM마케터,홍보,경영·비즈니스기획,경력무관,학력무관,"서울, 경기, 인천 외",위촉직/개인사업자,즉시지원,~05/31(금),,,,마케팅기획 외,하락4,,,,,,,,,,,,,,
93,,㈜인정에프앤비,관심기업,스크랩,온라인영업MD(경력)및 영업지원(AMD) 모집,퍼포먼스마케터,브랜드마케터,CRM마케터,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/24(금),,,,온라인마케터 외,하락1,,,,,,,,,,,,,,
94,,㈜아이써치마케팅,관심기업,스크랩,"강서/인스타그램마케팅(월300이상) 사무보조, TM상담사, 고객관리, 인바운드,아웃바운드",퍼포먼스마케터,온라인마케터,콘텐츠마케터,신입·경력,고졸↑,"서울, 경기, 인천","정규직, 계약직",즉시지원,상시채용,,,,채널관리자 외,NEWNEW,,,,,,,,,,,,,,
95,,주식회사 백메가,관심기업,스크랩,게시판 전투원을 모십시다,콘텐츠마케터,브랜드마케터,인바운드상담원,신입·경력,고졸↑,서울,정규직,즉시지원,~05/11(토),,,,,상승24,,,,,,,,,,,,,,
96,,주식회사 애플뮤직,관심기업,스크랩,콘텐츠기획팀(마케팅) 정규직 채용 공고,퍼포먼스마케터,온라인마케터,음반기획,신입·경력,학력무관,서울,정규직,즉시지원,~05/24(금),,,,,상승10,,,,,,,,,,,,,,
97,,㈜이앤임,관심기업,스크랩,[기본급 월350만/차등지급]부동산 자산관리/컨설팅 신입/경력 모집,AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,"서울, 경기","계약직, 프리랜서",즉시지원,내일마감,,,,온라인마케터 외,NEWNEW,,,,,,,,,,,,,,
98,,㈜포탈하이웨이,관심기업,스크랩,[사업확장] 매장영업/매장관리/본사 경리 신입 및 경력 채용,CRM마케터,MD,사무담당자,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~06/02(일),,,,사무보조 외,하락16,,,,,,,,,,,,,,
99,,㈜퍼플랩스헬스케어,관심기업,스크랩,"[세리박스,닥터프리오-PLH] 2024년도 상반기 공채(온라인MD, 커머스 영상제작, SCM)",AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,온라인마케터 외,하락5,~05/19(일),,,,,,,,,,,,,
100,,세니아의원,관심기업,스크랩,"[연 4200만,강남역] 세니아클리닉 피부관리사 팀원 채용",홍보,간호조무사,간호사,신입·경력,학력무관,"서울, 경기","정규직, 계약직",즉시지원,채용 시 마감,,,,병원코디네이터 외,NEWNEW,~05/19(일),,,,,,,,,,,,,
