시도,시군구,폐기물 종류,Unnamed: 3,합계,재활용,소각,매립,기타
,,"재활용 
가능자원
 분리배출",소계,"14,739.30","14,705.10",34.2,0,0
,,음식물류 폐기물 분리배출,EMPTY,"19,151.80","19,151.80",0,0,0
부산,금정구,합계,,"58,728.10","50,469.50","4,572.20","3,686.40",0
,,종량제방식 등 혼합배출,소계,"27,413.40","19,162.70","4,572.20","3,678.50",0
,,"재활용 
가능자원
 분리배출",소계,"12,926.60","12,926.60",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"18,388.10","18,380.20",0,7.9,0
부산,강서구,합계,,"48,372.90","43,439.40","1,432.00","3,501.50",0
,,종량제방식 등 혼합배출,소계,"23,876.10","18,942.60","1,432.00","3,501.50",0
,,"재활용 
가능자원
 분리배출",소계,"12,006.80","12,006.80",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"12,490.00","12,490.00",0,0,0
부산,연제구,합계,,"56,320.50","46,404.30","5,908.60","4,007.60",0
,,종량제방식 등 혼합배출,소계,"28,870.50","19,012.30","5,908.60","3,949.60",0
,,"재활용 
가능자원
 분리배출",소계,"14,026.90","14,026.90",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"13,423.10","13,365.10",0,58,0
부산,수영구,합계,,"43,167.90","28,462.30","4,539.70","10,165.90",0
,,종량제방식 등 혼합배출,소계,"22,792.40","8,086.80","4,539.70","10,165.90",0
,,"재활용 
가능자원
 분리배출",소계,"10,938.50","10,938.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"9,437.00","9,437.00",0,0,0
부산,사상구,합계,,"49,334.10","39,843.20","5,792.50","3,698.40",0
,,종량제방식 등 혼합배출,소계,"19,615.40","10,124.50","5,792.50","3,698.40",0
,,"재활용 
가능자원
 분리배출",소계,"13,753.10","13,753.10",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"15,965.60","15,965.60",0,0,0
부산,기장군,합계,,"56,336.60","37,629.90","8,744.80","9,961.90",0
,,종량제방식 등 혼합배출,소계,"26,490.40","7,995.30","8,533.20","9,961.90",0
,,"재활용 
가능자원
 분리배출",소계,"12,226.70","12,015.10",211.6,0,0
,,음식물류 폐기물 분리배출,EMPTY,"17,619.50","17,619.50",0,0,0
대구,소계,합계,,"765,718.60","433,936.70","91,659.60","240,122.30",0
,,종량제방식 등 혼합배출,소계,"420,413.20","96,873.40","85,845.60","237,694.20",0
,,"재활용 
가능자원
 분리배출",소계,"137,883.60","129,641.50","5,814.00","2,428.10",0
,,음식물류 폐기물 분리배출,EMPTY,"207,421.80","207,421.80",0,0,0
대구,중구,합계,,"38,439.80","22,264.00","4,154.20","12,021.60",0
,,종량제방식 등 혼합배출,소계,"22,396.80","6,656.30","3,886.60","11,853.90",0
,,"재활용 
가능자원
 분리배출",소계,"6,380.60","5,945.30",267.6,167.7,0
,,음식물류 폐기물 분리배출,EMPTY,"9,662.40","9,662.40",0,0,0
대구,동구,합계,,"102,170.90","62,338.70","10,175.30","29,656.90",0
,,종량제방식 등 혼합배출,소계,"57,030.70","17,984.40","9,389.40","29,656.90",0
,,"재활용 
가능자원
 분리배출",소계,"14,499.30","13,713.40",785.9,0,0
,,음식물류 폐기물 분리배출,EMPTY,"30,640.90","30,640.90",0,0,0
대구,서구,합계,,"52,494.00","26,327.50","7,400.00","18,766.50",0
,,종량제방식 등 혼합배출,소계,"34,262.50","8,625.90","6,870.10","18,766.50",0
,,"재활용 
가능자원
 분리배출",소계,"6,352.50","5,822.60",529.9,0,0
,,음식물류 폐기물 분리배출,EMPTY,"11,879.00","11,879.00",0,0,0
대구,남구,합계,,"44,724.80","23,751.00","5,964.40","15,009.40",0
,,종량제방식 등 혼합배출,소계,"28,733.40","7,938.80","5,964.40","14,830.20",0
,,"재활용 
가능자원
 분리배출",소계,"6,696.70","6,517.50",0,179.2,0
,,음식물류 폐기물 분리배출,EMPTY,"9,294.70","9,294.70",0,0,0
대구,북구,합계,,"135,491.80","70,995.20","13,370.10","51,126.50",0
,,종량제방식 등 혼합배출,소계,"74,011.60","9,963.40","13,370.10","50,678.10",0
,,"재활용 
가능자원
 분리배출",소계,"23,265.10","22,816.70",0,448.4,0
,,음식물류 폐기물 분리배출,EMPTY,"38,215.10","38,215.10",0,0,0
대구,수성구,합계,,"131,822.20","82,155.80","17,279.70","32,386.70",0
,,종량제방식 등 혼합배출,소계,"67,371.80","21,553.90","13,431.20","32,386.70",0
,,"재활용 
가능자원
 분리배출",소계,"26,978.00","23,129.50","3,848.50",0,0
,,음식물류 폐기물 분리배출,EMPTY,"37,472.40","37,472.40",0,0,0
대구,달서구,합계,,"175,696.50","96,979.50","22,232.00","56,485.00",0
,,종량제방식 등 혼합배출,소계,"91,674.90","14,109.20","22,232.00","55,333.70",0
,,"재활용 
가능자원
 분리배출",소계,"37,248.90","36,097.60",0,"1,151.30",0
,,음식물류 폐기물 분리배출,EMPTY,"46,772.70","46,772.70",0,0,0
대구,달성군,합계,,"84,878.60","49,125.00","11,083.90","24,669.70",0
,,종량제방식 등 혼합배출,소계,"44,931.50","10,041.50","10,701.80","24,188.20",0
,,"재활용 
가능자원
 분리배출",소계,"16,462.50","15,598.90",382.1,481.5,0
,,음식물류 폐기물 분리배출,EMPTY,"23,484.60","23,484.60",0,0,0
인천,소계,합계,,"847,009.50","516,945.00","251,158.10","77,713.40","1,193.00"
,,종량제방식 등 혼합배출,소계,"389,418.80","66,355.60","244,253.90","77,713.40","1,095.90"
,,"재활용 
가능자원
 분리배출",소계,"234,390.70","227,486.50","6,904.20",0,0
,,음식물류 폐기물 분리배출,EMPTY,"223,200.00","223,102.90",0,0,97.1
인천,중구,합계,,"68,119.50","40,307.40","21,396.30","6,415.80",0
,,종량제방식 등 혼합배출,소계,"33,648.50","5,836.40","21,396.30","6,415.80",0
,,"재활용 
가능자원
 분리배출",소계,"13,392.50","13,392.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"21,078.50","21,078.50",0,0,0
인천,동구,합계,,"18,150.30","11,306.40","4,238.70","2,605.20",0
,,종량제방식 등 혼합배출,소계,"6,843.90",0,"4,238.70","2,605.20",0
,,"재활용 
가능자원
 분리배출",소계,"4,835.20","4,835.20",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"6,471.20","6,471.20",0,0,0
인천,미추홀구,합계,,"112,916.60","61,073.70","45,987.00","5,855.90",0
,,종량제방식 등 혼합배출,소계,"54,886.20","6,460.00","42,570.30","5,855.90",0
,,"재활용 
가능자원
 분리배출",소계,"28,693.10","25,276.40","3,416.70",0,0
,,음식물류 폐기물 분리배출,EMPTY,"29,337.30","29,337.30",0,0,0
인천,연수구,합계,,"117,570.50","88,963.20","24,240.70","3,911.10",455.5
,,종량제방식 등 혼합배출,소계,"55,422.90","28,919.10","22,137.20","3,911.10",455.5
,,"재활용 
가능자원
 분리배출",소계,"37,148.70","35,045.20","2,103.50",0,0
,,음식물류 폐기물 분리배출,EMPTY,"24,998.90","24,998.90",0,0,0
인천,남동구,합계,,"151,208.80","98,063.40","44,740.90","7,764.10",640.4
,,종량제방식 등 혼합배출,소계,"62,686.60","9,541.20","44,740.90","7,764.10",640.4
,,"재활용 
가능자원
 분리배출",소계,"43,847.80","43,847.80",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"44,674.40","44,674.40",0,0,0
인천,부평구,합계,,"129,383.30","76,657.80","37,865.80","14,859.70",0
,,종량제방식 등 혼합배출,소계,"60,496.40","7,770.90","37,865.80","14,859.70",0
,,"재활용 
가능자원
 분리배출",소계,"36,692.10","36,692.10",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"32,194.80","32,194.80",0,0,0
인천,계양구,합계,,"72,186.50","41,461.50","22,572.90","8,148.90",3.2
,,종량제방식 등 혼합배출,소계,"29,337.80",0,"21,188.90","8,148.90",0
,,"재활용 
가능자원
 분리배출",소계,"19,332.60","17,948.60","1,384.00",0,0
,,음식물류 폐기물 분리배출,EMPTY,"23,516.10","23,512.90",0,0,3.2
인천,서구,합계,,"156,010.20","85,831.50","43,024.80","27,153.90",0
,,종량제방식 등 혼합배출,소계,"78,006.70","7,828.00","43,024.80","27,153.90",0
,,"재활용 
가능자원
 분리배출",소계,"44,310.90","44,310.90",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"33,692.60","33,692.60",0,0,0
인천,강화군,합계,,"13,229.30","8,216.80","4,279.40",733.1,0
,,종량제방식 등 혼합배출,소계,"5,012.50",0,"4,279.40",733.1,0
,,"재활용 
가능자원
 분리배출",소계,"3,783.50","3,783.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"4,433.30","4,433.30",0,0,0
인천,옹진군,합계,,"8,234.50","5,063.30","2,811.60",265.7,93.9
,,종량제방식 등 혼합배출,소계,"3,077.30",0,"2,811.60",265.7,0
,,"재활용 
가능자원
 분리배출",소계,"2,354.30","2,354.30",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"2,802.90","2,709.00",0,0,93.9
광주,소계,합계,,"465,798.20","328,565.60","18,656.90","118,575.70",0
,,종량제방식 등 혼합배출,소계,"183,009.00","53,647.50","11,196.90","118,164.60",0
,,"재활용 
가능자원
 분리배출",소계,"127,881.40","120,010.30","7,460.00",411.1,0
