LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35
63,NEWNEW,중소기업중앙회,관심기업,스크랩,외국인근로자 취업교육 지원 및 통역 담당자 모집(계약직),교재개발·교수설계,사무담당자,운영보조·매니저,,경력무관,학력무관,"경기, 충북",계약직,즉시지원,~06/13(목),,,,,,,,,,,,,,,,,,,
64,하락12,제주중앙고등학교,관심기업,스크랩,2024학년도 학교법인 천마학원 제주중앙고등학교 시설관리직 채용,교직원·조교,,,,경력무관,학력무관,제주,정규직,우편접수,~06/11(화),,,,,,,,,,,,,,,,,,,
65,상승9,노베영어,관심기업,스크랩,[재택근무 I 온라인 영어학원] 학원계의 구글이 되겠습니다. 자유롭고 존중하는 업무 분위기 속에서 함께하실 영어 선생님 모십니다.,학원강사,외국어강사,학원상담·운영,,경력무관,대졸↑,서울,"프리랜서, 아르바이트",즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
66,상승51,건국대학교,관심기업,스크랩,건국대학교 법학전문대학원 직원(행정지원직) 채용,교직원·조교,,,,경력무관,대졸↑,서울,계약직,즉시지원,~06/19(수),,,,,,,,,,,,,,,,,,,
67,상승49,㈜서울디지털에듀테크,관심기업,스크랩,2024년 학점은행제 학사행정 정규직 채용,학원상담·운영,,,,신입·경력,학력무관,서울,정규직,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,
68,상승25,"경기미래직업전문학교(별관,양㈜",관심기업,스크랩,"HRD사무행정,상담및 관리",학원상담·운영,사무담당자,,,경력무관,고졸↑,경기,정규직,즉시지원,~06/19(수),,,,,,,,,,,,,,,,,,,
69,NEWNEW,㈜웨이브홀딩스,관심기업,스크랩,대구 애견미용학원 마케팅/교육상담 경력채용건(주4일출근),학원상담·운영,온라인마케터,,,신입·경력,고졸↑,대구,"정규직, 프리랜서",,~05/22(수),,,,,,공고마감,,,,,,,,,,,,,
70,하락38,㈜에스씨에이아카데미안양,관심기업,스크랩,[코리아교육그룹]SBS아카데미컴퓨터아트학원 안양점 마케팅/사무직 채용,학원상담·운영,온라인마케터,인바운드상담원,,경력무관,학력무관,경기,"정규직, 프리랜서",즉시지원,~06/04(화),,,,,,,,,,,,,,,,,,,
71,NEWNEW,동호에이치알㈜,관심기업,스크랩,[삼성역/구내식당] 현대오토에버 본사 온라인교육행정 채용,교직원·조교,사무담당자,사무보조,,경력무관,초대졸↑,"서울, 경기","계약직, 파견직",즉시지원,~06/20(목),,,,,,,,,,,,,,,,,,,
72,상승27,을지대학교(성남캠퍼스),관심기업,스크랩,을지대학교 교직원 채용,교직원·조교,,,,경력무관,대졸↑,경기,계약직,홈페이지 지원,~05/27(월),,,,,,,,,,,,,,,,,,,
73,상승55,구로여성인력개발센터,관심기업,스크랩,2024  온라인마켓 분야 경력보유 긱워커 10명 모집,기술·전문강사,퍼포먼스마케터,온라인마케터,콘텐츠마케터 외,신입·경력,학력무관,서울,연수생/교육생,홈페이지 지원,~05/30(목),,,,,,,,,,,,,,,,,,,
74,하락25,서울대학교 음악대학,관심기업,스크랩,서울대학교 음악대학 자체직원(기간제) 채용 공고,교직원·조교,비서,사무담당자,,경력무관,학력무관,서울,계약직,즉시지원,~05/27(월),,,,,,,,,,,,,,,,,,,
75,상승19,㈜선경에듀,관심기업,스크랩,선경어학원  초/중/고 영어강사 & 상담실 직원 모집 [대치동 영어학원],학원강사,외국어강사,학원상담·운영,안내데스크·리셉셔니스트 외,신입·경력,대졸↑,서울,"정규직, 계약직",즉시지원,~06/19(수),,,,,,,,,,,,,,,,,,,
76,NEWNEW,씨게이트잠실어학학원,관심기업,스크랩,YBM직영 잠실 씨게이트 영어유치부 class 관리자 채용,유치원·보육교사,외국어강사,학원상담·운영,,경력무관,초대졸↑,"서울, 경기",계약직,즉시지원,~06/21(금),,,,,,,,,,,,,,,,,,,
77,하락19,홈플러스㈜,관심기업,스크랩,홈플러스 울산권 문화센터 관리자 채용,학원상담·운영,교재개발·교수설계,,,신입·경력,초대졸↑,울산,정규직,즉시지원,~06/07(금),,,,,,,,,홈플러스그룹,,,,,,,,1000대기업,52 위,1000대기업 순위 닫기
