LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
43,,엠에스씨코리아㈜,관심기업,,,,스크랩,MSC KOREA 신입/경력 채용,관세사,경영지원,사무담당자,사무보조 외,신입·경력,대졸↑,서울,정규직,즉시지원,~05/22(수),상승1,,,,,,,,,,,,,,
44,,㈜사이냅소프트,관심기업,,,,스크랩,[2024년 신입·경력 공개채용] 각 부문별 채용,회계담당자,재무담당자,웹기획,마케팅기획 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),하락13,,,,,,,,,,,,,,
45,,㈜실크로드시앤티,관심기업,,,,스크랩,SILKROAD 2024년 상반기 신입/경력 채용,감사,경영·비즈니스기획,법무담당자,해외영업 외,신입·경력,학력무관,서울,정규직,즉시지원,상시채용,상승5,,,,,,,,,,,,,,
46,,엠에스씨코리아㈜,관심기업,,,,스크랩,엠에스씨코리아㈜ 각 부문별 신입/경력 채용,관세사,사무담당자,유통관리자,무역사무원 외,신입·경력,초대졸↑,부산,정규직,즉시지원,~05/31(금),상승80,,,,,,,,,,,,,,
47,,㈜넥스트세이프,관심기업,,,,스크랩,함께 안전하고 행복한 미래를 만들 어갈 동반자를 찾습니다,회계담당자,경리,경영·비즈니스기획,마케팅기획 외,신입·경력,학력무관,경기,정규직,즉시지원,~05/10(금),하락13,,,,,,,,,,,,,,
48,,㈜영원무역,관심기업,1000대기업,256 위,1000대기업 순위 닫기,스크랩,경력/신입 상시 채용,재무담당자,IR·공시,영업지원,,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,~05/31(금),하락18,,,,,,,,,,,,,,
49,,㈜영신피앤엘,관심기업,,,,스크랩,(주)영신피앤엘  2024상반기 각 부문 채용,회계담당자,그래픽디자이너,구매관리자,납품·배송기사 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,하락14,~05/10(금),,,,,,,,,,,,,
50,,대상정보기술㈜,관심기업,,,,스크랩,[대상정보기술] 각 부문별 경력·신입 채용,회계담당자,경리,경영·비즈니스기획,웹기획 외,신입·경력,학력무관,서울,정규직,즉시지원,~06/02(일),하락13,,,,,,,,,,,,,,
51,,㈜케이푸드,관심기업,,,,스크랩,"[(주)케이푸드] 경영지원 신입,경력 사원 채용",회계담당자,경리,사무보조,총무 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/24(금),하락5,,,,,,,,,,,,,,
52,,㈜모츠,관심기업,,,,스크랩,2024 MOTZ 채용 공고(신입/경력),회계담당자,세무담당자,재무담당자,경영·비즈니스기획 외,신입·경력,학력무관,서울,정규직,즉시지원,상시채용,상승65,,,,,,,,,,,,,,
53,,풍국주정공업㈜,관심기업,,,,스크랩,풍국주정 (서울) 경영관리부 회계 직원 채용,회계담당자,세무담당자,재무담당자,경리 외,신입·경력,대졸↑,서울,정규직,즉시지원,~05/17(금),상승3,,,,,,,,,,,,,,
54,,㈜캉카스백화점,관심기업,,,,스크랩,[월 270만/정규직] 백화점 경리사원 모집,경리,회계담당자,사무보조,총무 외,신입·경력,학력무관,서울,정규직,즉시지원,~05/31(금),상승24,,,,,,,,,,,,,,
55,,관광호텔태영,관심기업,,,,스크랩,호텔뉴브 (HOTEL NEWV) 상반기 정규직 채용 [프론트/조리팀/F&B/재경],회계담당자,요리사,조리사,바리스타 외,신입·경력,학력무관,서울,정규직,즉시지원,~06/01(토),상승9,,,,,,,,,,,,,,
56,,㈜제네스코,관심기업,,,,스크랩,회계 사무직원 정규직 채용,회계담당자,경리,세무담당자,,신입,대졸↑,서울,정규직,즉시지원,채용 시 마감,하락8,~05/29(수),,,,,,,,,,,,,
57,,비유피,관심기업,,,,스크랩,[비유피]식품전문 커머스기업 상반기 정규직 채용 (신입/경력),회계담당자,총무,인사담당자,퍼포먼스마케터 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/12(일),상승9,,,,,,,,,,,,,,
58,,㈜웰두,관심기업,,,,스크랩,회사내 주차장 요금 직원 모집(정산업무 없음/발렛파킹 업무 없음),경리,사무담당자,사무보조,유통관리자 외,신입·경력,학력무관,경기,계약직,즉시지원,채용 시 마감,상승35,~05/31(금),,,,,,,,,,,,,
59,,㈜와이비엠교육,관심기업,,,,스크랩,(주)YBM교육 재무회계팀 인재 모집,회계담당자,세무담당자,경영지원,사무담당자 외,신입·경력,대졸↑,서울,계약직,즉시지원,~05/30(목),하락7,,,,,,,,,,,,,,
60,,도미노피자(청오디피케이),관심기업,,,,스크랩,도미노피자 각 부문(자회사 포함) 공개 채용,회계담당자,재무담당자,회계사,경영·비즈니스기획 외,신입·경력,대졸↑,"서울, 경기, 충남",정규직,즉시지원,내일마감,상승31,,,,,,,,,,,,,,
61,,㈜ 옥산석물,관심기업,,,,스크랩,"[안산본사] 각 부문 신입, 경력직 채용[연봉 최대 7,000만/ 협의]",회계담당자,경리,세무담당자,총무 외,신입·경력,학력무관,"서울, 경기, 인천 외",계약직,즉시지원,내일마감,하락6,,,,,,,,,,,,,,
62,,㈜퓨처피플,관심기업,,,,스크랩,경영지원 사무원 채용공고,회계담당자,경리,경영지원,사무담당자 외,경력무관,학력무관,서울,"정규직, 계약직",즉시지원,상시채용,하락11,,,,,,,,,,,,,,
63,유지,㈜LF네트웍스,관심기업,,,,스크랩,재무·세무회계 담당 신입 및 경력직 채용,세무담당자,재무담당자,,,신입·경력,대졸↑,서울,정규직,즉시지원,채용 시 마감,,~05/29(수),,,,,,,,,,LF그룹,,,
64,,㈜휴온스글로벌,관심기업,우수기업,,우수기업 설명 닫기,스크랩,휴온스글로벌 각 부문 신입 및 경력직 채용,회계담당자,보안엔지니어,소프트웨어개발자,,신입·경력,대졸↑,경기,정규직,홈페이지 지원,~05/12(일),하락5,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
65,,주식회사 플랜엠,관심기업,,,,스크랩,플랜엠(서울지사) 각 부문별 채용,회계담당자,재무담당자,컨설턴트,법무담당자 외,신입·경력,대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/13(월),상승10,,,,,,,,,,,,,,
66,,에스아이(SI)증권㈜,관심기업,,,,스크랩,SI증권 수시채용 (신입/경력),회계담당자,법인영업,영업관리,영업지원 외,신입·경력,대졸↑,서울,계약직,즉시지원,~05/12(일),하락12,,,,,,,,,,,,,,
67,,㈜한화,관심기업,,,,스크랩,한화건설 사무직 채용,회계담당자,사무담당자,사무보조,,경력무관,학력무관,서울,계약직,홈페이지 지원,~05/31(금),하락6,,,,,,,,,,,,,,
68,,아이딕스,관심기업,,,,스크랩,"온라인MD,AMD / 디자인,상세페이지, 촬영 / 세무 재고 [온라인 홈데코/뷰티]",회계담당자,경리,세무담당자,재무담당자 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/01(토),하락11,,,,,,,,,,,,,,
69,,대원세무법인,관심기업,,,,스크랩,2024년 대원세무법인 급여관리 신입 및 경력 직원 채용,회계담당자,경리,세무담당자,세무사 외,신입·경력,학력무관,서울,정규직,즉시지원,오늘마감,상승28,,,,,,,,,,,,,,
70,,㈜엠코,관심기업,,,,스크랩,꼼꼼한 경리분을 모십니다.,경리,,,,경력무관,고졸↑,경기,정규직,즉시지원,~06/02(일),NEWNEW,,,,,,,,,,,,,,
