LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
49,하락4,㈜득인기공,관심기업,,,,,스크랩,"경리회계,사무원, 생산 현장직 직원 모집",인사담당자,설치·수리기사,정비기사,생산직종사자 외,신입·경력,학력무관,"대구, 경북, 부산",정규직,즉시지원,채용 시 마감,,,,,,,,,,~06/15(토),,
50,하락7,동부고속,관심기업,,,,,스크랩,[서초구] 동부고속 2024년 관리사무직(인사) 채용,인사담당자,HRD·HRM,노무관리자,총무 외,신입,대졸↑,"서울, 경기",정규직,즉시지원,~05/26(일),,,,,,,,,,,,
51,하락9,AACT,관심기업,,,,,스크랩,[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,인사담당자,시스템엔지니어,네트워크엔지니어,물류관리자 외,신입·경력,학력무관,"경기, 인천",정규직,즉시지원,~06/19(수),,,,,,,,,,,,
52,하락6,신라에이치엠㈜,관심기업,삼성그룹,,,,스크랩,[신라스테이] 제주 이호테우 호텔 분야별 인재채용 (프론트/식음/조리/기업체 Sales/바리스타),인사담당자,노무관리자,경영·비즈니스기획,경영지원 외,신입·경력,학력무관,제주,정규직,즉시지원,~06/18(화),,,,,,,,,,,,
53,하락2,우아한청년들,관심기업,,,,,스크랩,[우아한청년들] 배민B마트 캡틴(지점운영) 모집,인사담당자,물류관리자,유통관리자,영업관리 외,신입·경력,학력무관,"서울, 경기, 인천 외",계약직,홈페이지 지원,상시채용,,,,,,,,,,,,
54,하락10,㈜기영에프앤비,관심기업,,,,,스크랩,[4.5일제] 기영에프앤비 경영기획/R&D 메뉴개발/해외사업/구매/마케팅/신규사업/운영/오픈 외 신규 채용 모집,HRD·HRM,경영·비즈니스기획,마케팅기획,브랜드마케터 외,신입·경력,학력무관,서울,정규직,즉시지원,~07/17(수),,,,,,,,,,,,
55,하락8,㈜푸드테크,관심기업,,,,,스크랩,(주)푸드테크 인사팀 채용/조직문화 업무 지원,인사담당자,HRD·HRM,,,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/10(월),,,,,,,,,,,,
56,하락2,엠티에스코퍼레이션,관심기업,,,,,스크랩,2024년신입/경력사원 공개채용(경영지원),HRD·HRM,인사담당자,경영지원,사무담당자 외,신입·경력,대졸↑,"경기, 충북",정규직,즉시지원,~05/26(일),,,,,,,,,,,,
57,하락2,호텔에이치디씨㈜ 파크하얏트 서울,관심기업,,,,,스크랩,파크 하얏트 서울 & 안다즈 서울 강남 각 부문별 신입/경력 공개 채용 (사원-과장),노무관리자,인사담당자,마케팅기획,브랜드마케터 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,내일마감,,,,,,,,,,,,
58,상승10,크리스챤디올꾸뛰르코리아,관심기업,,,,,스크랩,신세계백화점 광주 부티크 공개채용,잡매니저,마케팅기획,AE(광고기획자),브랜드마케터 외,신입·경력,학력무관,"서울, 광주",정규직,즉시지원,~05/26(일),,,,,,,,,,,,
59,하락22,㈜한국크레딕라이프,관심기업,,,,,스크랩,"[토스플레이스 자회사] 재무/회계, 영업/거래처관리,  고객직원 부문별 채용",HRD·HRM,재무담당자,법인영업,영업관리 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~06/29(토),,
60,NEWNEW,DL이앤씨㈜,관심기업,,,,,스크랩,[DL이앤씨] 인사지원 기간제 전문직 채용,인사담당자,HRD·HRM,사무담당자,여행에이전트 외,신입·경력,대졸↑,서울,계약직,즉시지원,~05/27(월),,,,,,,,,,,,
61,NEWNEW,㈜아네스토,관심기업,,,,,스크랩,㈜아네스토 각 부문별 정규직 채용공고,인사담당자,총무,사무보조,사무담당자 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~06/02(일),,,,,,,,,,,,
62,NEWNEW,㈜스토리타코,관심기업,,,,,스크랩,[스토리타코] 경영지원실 인사 및 총무 담당자 채용,HRD·HRM,총무,사무보조,,신입·경력,초대졸↑,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~06/20(목),,
63,,넥스큐브코퍼레이션㈜,관심기업,,,,,스크랩,[우수교육기업] 에듀플렉스 학습컨설턴트 정규직 전국 채용,HRD·HRM,웹기획,컨설턴트,사무담당자 외,신입,대졸↑,"서울, 경기, 인천 외",정규직,즉시지원,~06/02(일),,,,,,,,유지,,,,
64,하락8,현대글로비스㈜,관심기업,현대자동차그룹,1000대기업,38 위,1000대기업 순위 닫기,스크랩,2024년 상반기 채용연계형 인턴십,인사담당자,구매관리자,시스템엔지니어,소프트웨어개발자 외,인턴·신입,대졸↑,"서울, 충남, 울산",인턴,홈페이지 지원,~05/26(일),,,,,,,,,,,,
65,상승2,그랜드 하얏트 서울,관심기업,,,,,스크랩,[그랜드 하얏트 서울] 인사부 인턴 모집,인사담당자,HRD·HRM,,,인턴·경력무관,초대졸↑,서울,"계약직, 인턴",즉시지원,~06/16(일),,,,,,,,,,,,
66,상승8,㈜팀프레시,관심기업,,,,,스크랩,[팀프레시] 인사관리팀 채용운영 담당자,인사담당자,HRD·HRM,헤드헌터,,경력무관,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~05/29(수),,
67,하락1,현대글로비스㈜,관심기업,현대자동차그룹,1000대기업,38 위,1000대기업 순위 닫기,스크랩,2024년 상반기 채용연계형 인턴십 (인사),인사담당자,구매관리자,시스템엔지니어,소프트웨어개발자 외,인턴·신입,대졸↑,서울,인턴,홈페이지 지원,~05/26(일),,,,,,,,,,,,
68,하락6,주식회사 플랜엠,관심기업,,,,,스크랩,플랜엠(서울지사) 각 부문별 채용,인사담당자,컨설턴트,법무담당자,회계담당자 외,신입·경력,대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~07/13(토),,,,,,,,,,,,
