LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
58,상승15,㈜트랜스코스모스,관심기업,,,,스크랩,[하루출근 후 바로 재택근무] 쿠팡 상담사 대모집 1Ck1,인바운드상담원,아웃바운드상담원,사무보조,,경력무관,학력무관,"부산, 울산",정규직,즉시지원,오늘마감,,,,,,,,,,,,,,,
59,NEWNEW,㈜제스트플라이,관심기업,,,,스크랩,"[청주]지점신입사원모집 야근x주말,공휴일 근무x 기본급250만",인바운드상담원,마케팅기획,CEO·COO·CTO,사무보조 외,경력무관,고졸↑,충북,정규직,즉시지원,~06/20(목),,,,,,,,,,,,,,,
60,상승8,㈜아이써치마케팅,관심기업,,,,스크랩,"동수원사거리 / 인스타그램마케팅 마케터 채용 [월300이상] 사무보조,TM상담사,고객관리,인바운드,아웃바운드",아웃바운드상담원,인바운드상담원,퍼포먼스마케터,온라인마케터 외,신입·경력,고졸↑,"경기, 충남","정규직, 계약직",즉시지원,~06/02(일),,,,,,,,,,,,,,,
61,하락9,코리아에듀,관심기업,,,,스크랩,코리아에듀 평생교육원 사무행정 모집공고,고객센터관리자,사무담당자,사무보조,학원상담·운영 외,경력무관,초대졸↑,서울,계약직,즉시지원,~06/21(금),,,,,,,,,,,,,,,
62,하락3,MG개발산업,관심기업,,,,스크랩,[부동산법인/월700/강남 2030인재 채용] (부동산최초 기본급도입),인바운드상담원,아웃바운드상담원,고객센터관리자,마케팅기획 외,경력무관,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,
63,하락1,플랜비컴퍼니,관심기업,,,,스크랩,주문제작 키링 디자인 어도비일러스트 작업자 모집공고,인바운드상담원,웹디자이너,일러스트레이터,그래픽디자이너 외,신입,학력무관,경기,정규직,즉시지원,~05/30(목),,,,,,,,,,,,,,,
64,상승34,㈜케이티씨에스,관심기업,,,,스크랩,"법무부 출입국, 체류 관련 `한국어` 상담사 대규모 채용",인바운드상담원,사무보조,,,신입·경력,학력무관,서울,정규직,즉시지원,오늘마감,,,,,,,,,,,,,,,
65,하락4,광진산업,관심기업,,,,스크랩,2024년 사업확장에 따른 부문별 신규 채용,인바운드상담원,생산·공정관리자,안전관리자,MD 외,경력무관,학력무관,"대전, 충남","정규직, 계약직",즉시지원,~06/09(일),,,,,,,,,,,,,,,
66,NEWNEW,호텔 소울하다,관심기업,,,,스크랩,[인천계양 3성관광호텔 소울하다] 프론트 MEMBER채용,인바운드상담원,사무보조,비서,호텔종사자 외,신입·경력,학력무관,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,~06/09(일),,,,,,,,,,,,,,
67,상승3,디만트코리아㈜,관심기업,,,,스크랩,덴마크 의료기기 대표 기업 2024년 상반기 공개 채용,인바운드상담원,웹기획,마케팅기획,사무담당자 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~06/21(금),,,,,,,,,,,,,,,
