LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
31,,엘에스엠앤엠㈜,관심기업,스크랩,엘에스엠앤엠㈜ 각 부문 신입/경력 수시채용,시스템엔지니어,재무담당자,경영·비즈니스기획,설비엔지니어 외,신입·경력,대졸↑,"서울, 울산",정규직,홈페이지 지원,~05/15(수),상승44,,,,LS그룹,,,,1000대기업,50 위,1000대기업 순위 닫기,,,,,,,,,,,
32,,제노에너지㈜,관심기업,스크랩,2024년 상반기 신입 및 경력사원 채용,QA,경영지원,사무담당자,총무 외,경력무관,학력무관,경기,정규직,즉시지원,~05/12(일),상승8,,,,,,,,,,,,,,,,,,,,,
33,,AJ 네트웍스,관심기업,스크랩,AJ네트웍스 렌탈부문 5월 수시채용,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자 외,신입·경력,고졸↑,"서울, 경기, 충남 외",정규직,홈페이지 지원,~05/22(수),상승5,,,,,,,,,,,,,,,,,,,,,
34,,㈜ABB코리아,관심기업,스크랩,㈜ABB코리아 각 부문 채용,시스템엔지니어,경영·비즈니스기획,인사담당자,CRM마케터 외,신입·경력,학력무관,"서울, 충남, 부산 외","정규직, 계약직",홈페이지 지원,~05/31(금),하락6,1000대기업,642 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,,,
35,,진인프라,관심기업,스크랩,2024년 신입 및 경력 공개 채용,백엔드개발자,시스템엔지니어,네트워크엔지니어,보안엔지니어 외,신입·경력,고졸↑,"서울, 대전, 광주 외","정규직, 계약직",즉시지원,~05/25(토),하락20,,,,,,,,,,,,,,,,,,,,,
36,,㈜웹젠,관심기업,스크랩,2024 상반기 웹젠 채용연계형 인턴 모집,백엔드개발자,웹개발자,시스템엔지니어,게임개발자 외,인턴·신입·경력,학력무관,경기,인턴,홈페이지 지원,~05/07(화),상승1,,,,,,,,,,,,,,,,,,,,,
37,,하나펀드서비스㈜,관심기업,스크랩,하나펀드서비스㈜ 각 부문 신입 및 경력  채용,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자 외,신입·경력,대졸↑,"서울, 인천","정규직, 계약직",즉시지원,내일마감,하락3,,,,,,,,,,,,,,,,,,,,,
38,,㈜옵투스제약,관심기업,스크랩,각 부문 신입/경력 채용,네트워크엔지니어,경영·비즈니스기획,마케팅기획,브랜드마케터 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~05/28(화),하락8,,,,,,,,,,,,,,,,,,,,,
39,,신라에이치엠㈜,관심기업,스크랩,"[신라스테이] 본사(HQ) 호텔 분야별 인재 채용(객실예약,교육,인사,품질관리QA,전산(IT),영업전략)",시스템엔지니어,네트워크엔지니어,QA,인사담당자 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/21(화),상승2,,,,삼성그룹,,,,,,,,,,,,,,,,,
40,,㈜넥슨,관심기업,스크랩,신입/경력 채용,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자 외,신입·경력,학력무관,경기,"정규직, 계약직",홈페이지 지원,상시채용,하락1,1000대기업,227 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,우수기업,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",우수기업 설명 닫기
